accessionNo,ticker,cik,companyName,filedAt,periodOfReport,linkToFilingDetails
0000320193-19-000045,AAPL,320193,APPLE INC,2019-03-05T18:35:06-05:00,,https://www.sec.gov/Archives/edgar/data/320193/000032019319000045/xslF345X03/wf-form4_155182889283168.xml
0000320193-19-000044,AAPL,320193,APPLE INC,2019-03-05T18:34:05-05:00,,https://www.sec.gov/Archives/edgar/data/320193/000032019319000044/xslF345X03/wf-form4_155182883124053.xml
0000320193-19-000043,AAPL,320193,APPLE INC,2019-03-05T18:32:54-05:00,2019-03-01,https://www.sec.gov/Archives/edgar/data/320193/000032019319000043/xslF345X03/wf-form4_155182876082716.xml
0000320193-19-000042,AAPL,320193,APPLE INC,2019-03-05T18:31:46-05:00,2019-03-01,https://www.sec.gov/Archives/edgar/data/320193/000032019319000042/xslF345X03/wf-form4_155182869211407.xml
0000320193-19-000041,AAPL,320193,APPLE INC,2019-03-05T18:30:32-05:00,2019-03-01,https://www.sec.gov/Archives/edgar/data/320193/000032019319000041/xslF345X03/wf-form4_155182861814144.xml
0000320193-19-000040,AAPL,320193,APPLE INC,2019-03-05T18:29:19-05:00,,https://www.sec.gov/Archives/edgar/data/320193/000032019319000040/xslF345X03/wf-form4_155182854534604.xml
0000320193-19-000030,AAPL,320193,APPLE INC,2019-02-07T18:42:59-05:00,,https://www.sec.gov/Archives/edgar/data/320193/000032019319000030/xslF345X03/wf-form4_154958296589351.xml
0000320193-19-000024,AAPL,320193,APPLE INC,2019-02-05T18:41:02-05:00,2019-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019319000024/xslF345X03/wf-form4_154941004809567.xml
0000320193-19-000023,AAPL,320193,APPLE INC,2019-02-05T18:40:01-05:00,2019-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019319000023/xslF345X03/wf-form4_154940998460508.xml
0000320193-19-000022,AAPL,320193,APPLE INC,2019-02-05T18:38:57-05:00,2019-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019319000022/xslF345X03/wf-form4_154940992221908.xml
0000320193-19-000021,AAPL,320193,APPLE INC,2019-02-05T18:37:45-05:00,,https://www.sec.gov/Archives/edgar/data/320193/000032019319000021/xslF345X03/wf-form4_154940984777970.xml
0000320193-19-000020,AAPL,320193,APPLE INC,2019-02-05T18:36:38-05:00,2019-02-01,https://www.sec.gov/Archives/edgar/data/320193/000032019319000020/xslF345X03/wf-form4_154940978487594.xml
0000320193-19-000019,AAPL,320193,APPLE INC,2019-02-05T18:35:33-05:00,,https://www.sec.gov/Archives/edgar/data/320193/000032019319000019/xslF345X03/wf-form4_154940971963917.xml
0000320193-19-000018,AAPL,320193,APPLE INC,2019-02-05T18:34:27-05:00,,https://www.sec.gov/Archives/edgar/data/320193/000032019319000018/xslF345X03/wf-form4_154940965388838.xml
0000320193-19-000004,AAPL,320193,APPLE INC,2019-01-28T18:31:04-05:00,,https://www.sec.gov/Archives/edgar/data/320193/000032019319000004/xslF345X03/wf-form4_154871824787707.xml
